id,bowler,wickets,venue,batting_team
336002,Y Venugopal Rao,0,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
336002,DB Ravi Teja,1,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
336002,LPC Silva,0,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
336003,I Sharma,0,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
336003,AB Agarkar,0,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
336003,AB Dinda,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
336003,Mohammad Hafeez,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
336003,DJ Hussey,2,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
336003,Umar Gul,2,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
336003,S Sreesanth,2,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
336003,IK Pathan,2,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
336003,VRV Singh,1,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
336003,Gagandeep Singh,1,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
336003,JR Hopes,0,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
336003,PP Chawla,0,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders
336004,GD McGrath,0,Dr DY Patil Sports Academy,Mumbai Indians
336004,Mohammad Asif,1,Dr DY Patil Sports Academy,Mumbai Indians
336004,VY Mahesh,3,Dr DY Patil Sports Academy,Mumbai Indians
336004,PJ Sangwan,1,Dr DY Patil Sports Academy,Mumbai Indians
336004,R Bhatia,1,Dr DY Patil Sports Academy,Mumbai Indians
336004,V Sehwag,1,Dr DY Patil Sports Academy,Mumbai Indians
336004,Shoaib Malik,1,Dr DY Patil Sports Academy,Mumbai Indians
336004,SM Pollock,2,Dr DY Patil Sports Academy,Delhi Daredevils
336004,A Nehra,3,Dr DY Patil Sports Academy,Delhi Daredevils
336004,DJ Bravo,1,Dr DY Patil Sports Academy,Delhi Daredevils
336004,DS Kulkarni,3,Dr DY Patil Sports Academy,Delhi Daredevils
336004,ST Jayasuriya,0,Dr DY Patil Sports Academy,Delhi Daredevils
336004,DJ Thornely,1,Dr DY Patil Sports Academy,Delhi Daredevils
336004,RR Raje,0,Dr DY Patil Sports Academy,Delhi Daredevils
336005,Sohail Tanvir,6,Sawai Mansingh Stadium,Chennai Super Kings
336005,SR Watson,1,Sawai Mansingh Stadium,Chennai Super Kings
336005,MM Patel,2,Sawai Mansingh Stadium,Chennai Super Kings
336005,SK Trivedi,0,Sawai Mansingh Stadium,Chennai Super Kings
336005,SK Warne,1,Sawai Mansingh Stadium,Chennai Super Kings
336005,YK Pathan,0,Sawai Mansingh Stadium,Chennai Super Kings
336005,M Ntini,0,Sawai Mansingh Stadium,Rajasthan Royals
336005,MS Gony,0,Sawai Mansingh Stadium,Rajasthan Royals
336005,JA Morkel,0,Sawai Mansingh Stadium,Rajasthan Royals
336005,M Muralitharan,1,Sawai Mansingh Stadium,Rajasthan Royals
336005,SK Raina,0,Sawai Mansingh Stadium,Rajasthan Royals
336005,S Vidyut,1,Sawai Mansingh Stadium,Rajasthan Royals
336006,S Sreesanth,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
336006,IK Pathan,3,M Chinnaswamy Stadium,Royal Challengers Bangalore
336006,Gagandeep Singh,0,M Chinnaswamy Stadium,Royal Challengers Bangalore
336006,VRV Singh,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
336006,PP Chawla,3,M Chinnaswamy Stadium,Royal Challengers Bangalore
336006,JR Hopes,0,M Chinnaswamy Stadium,Royal Challengers Bangalore
336006,DW Steyn,0,M Chinnaswamy Stadium,Kings XI Punjab
336006,Z Khan,2,M Chinnaswamy Stadium,Kings XI Punjab
336006,P Kumar,2,M Chinnaswamy Stadium,Kings XI Punjab
336006,JH Kallis,0,M Chinnaswamy Stadium,Kings XI Punjab
336006,A Kumble,0,M Chinnaswamy Stadium,Kings XI Punjab
336007,DP Vijaykumar,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336007,RP Singh,2,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336007,SB Styris,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336007,Shahid Afridi,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336007,SB Bangar,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336007,PP Ojha,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
336007,M Ntini,0,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
336007,MS Gony,1,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
336007,JA Morkel,1,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
336007,Joginder Sharma,0,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
336007,M Muralitharan,1,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
336008,SM Pollock,1,Dr DY Patil Sports Academy,Rajasthan Royals
336008,A Nehra,3,Dr DY Patil Sports Academy,Rajasthan Royals
336008,DS Kulkarni,2,Dr DY Patil Sports Academy,Rajasthan Royals
336008,DJ Bravo,2,Dr DY Patil Sports Academy,Rajasthan Royals
336008,ST Jayasuriya,0,Dr DY Patil Sports Academy,Rajasthan Royals
336008,RR Raje,2,Dr DY Patil Sports Academy,Rajasthan Royals
336008,Sohail Tanvir,0,Dr DY Patil Sports Academy,Mumbai Indians
336008,MM Patel,0,Dr DY Patil Sports Academy,Mumbai Indians
336008,SK Trivedi,0,Dr DY Patil Sports Academy,Mumbai Indians
336008,SR Watson,2,Dr DY Patil Sports Academy,Mumbai Indians
336008,SK Warne,1,Dr DY Patil Sports Academy,Mumbai Indians
336009,MS Gony,1,Feroz Shah Kotla,Delhi Daredevils
336009,JA Morkel,2,Feroz Shah Kotla,Delhi Daredevils
336009,M Muralitharan,0,Feroz Shah Kotla,Delhi Daredevils
336009,P Amarnath,0,Feroz Shah Kotla,Delhi Daredevils
336009,L Balaji,2,Feroz Shah Kotla,Delhi Daredevils
336009,CK Kapugedera,0,Feroz Shah Kotla,Delhi Daredevils
336009,GD McGrath,1,Feroz Shah Kotla,Chennai Super Kings
336009,Mohammad Asif,1,Feroz Shah Kotla,Chennai Super Kings
336009,VY Mahesh,2,Feroz Shah Kotla,Chennai Super Kings
336009,PJ Sangwan,2,Feroz Shah Kotla,Chennai Super Kings
336009,Shoaib Malik,0,Feroz Shah Kotla,Chennai Super Kings
336009,V Sehwag,0,Feroz Shah Kotla,Chennai Super Kings
336010,DW Steyn,3,Eden Gardens,Kolkata Knight Riders
336010,Z Khan,1,Eden Gardens,Kolkata Knight Riders
336010,P Kumar,1,Eden Gardens,Kolkata Knight Riders
336010,R Vinay Kumar,1,Eden Gardens,Kolkata Knight Riders
336010,A Kumble,1,Eden Gardens,Kolkata Knight Riders
336010,AB Dinda,0,Eden Gardens,Royal Challengers Bangalore
336010,I Sharma,1,Eden Gardens,Royal Challengers Bangalore
336010,Umar Gul,1,Eden Gardens,Royal Challengers Bangalore
336010,SC Ganguly,1,Eden Gardens,Royal Challengers Bangalore
336010,M Kartik,1,Eden Gardens,Royal Challengers Bangalore
336010,LR Shukla,0,Eden Gardens,Royal Challengers Bangalore
336011,Sohail Tanvir,1,Sawai Mansingh Stadium,Deccan Chargers
336011,SR Watson,1,Sawai Mansingh Stadium,Deccan Chargers
336011,MM Patel,1,Sawai Mansingh Stadium,Deccan Chargers
336011,SK Warne,2,Sawai Mansingh Stadium,Deccan Chargers
336011,YK Pathan,1,Sawai Mansingh Stadium,Deccan Chargers
336011,SK Trivedi,2,Sawai Mansingh Stadium,Deccan Chargers
336011,DP Vijaykumar,0,Sawai Mansingh Stadium,Rajasthan Royals
336011,RP Singh,1,Sawai Mansingh Stadium,Rajasthan Royals
336011,SB Styris,0,Sawai Mansingh Stadium,Rajasthan Royals
336011,PP Ojha,1,Sawai Mansingh Stadium,Rajasthan Royals
336011,Shahid Afridi,0,Sawai Mansingh Stadium,Rajasthan Royals
