id,batsman,batsman_runs,bowling_team,Venue,runs_in_powerplay,runs_in_death,Innings,Bowler,Bowler_Type
335990,SK Warne,22,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0,22,2,not out,Not Out
335990,D Salunkhe,1,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0,1,2,not out,Not Out
335990,Pankaj Singh,4,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",0,4,2,not out,Not Out
335991,K Goel,18,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",9,0,1,not out,Not Out
335991,IK Pathan,6,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",6,0,1,A Nehra,Left arm medium pace
335991,KC Sangakkara,94,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",43,16,1,Harbhajan Singh,Right arm off spin
335991,Yuvraj Singh,18,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,0,1,SM Pollock,Right arm medium pace
335991,RR Sarwan,7,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,0,1,A Nehra,Left arm medium pace
335991,DPMD Jayawardene,12,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,4,1,Harbhajan Singh,Right arm off spin
335991,S Sohal,0,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,0,1,DS Kulkarni,Right arm medium pace
335991,B Lee,16,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,16,1,not out,Not Out
335991,PP Chawla,0,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,0,1,Harbhajan Singh,Right arm off spin
335991,S Sreesanth,0,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,0,1,DS Kulkarni,Right arm medium pace
335991,VRV Singh,4,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,4,1,not out,Not Out
335991,L Ronchi,11,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",11,0,2,not out,Not Out
335991,ST Jayasuriya,1,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",1,0,2,B Lee,Right arm medium pace
335991,RV Uthappa,21,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",8,0,2,VRV Singh,Right arm medium pace
335991,DJ Bravo,23,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",16,0,2,PP Chawla,Right arm leg spin
335991,SS Tiwary,17,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,2,PP Chawla,Right arm leg spin
335991,SM Pollock,22,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,4,2,S Sreesanth,Right arm medium pace
335991,AM Nayar,2,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,2,IK Pathan,Left arm medium pace
335991,Harbhajan Singh,0,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,0,2,IK Pathan,Left arm medium pace
335991,MA Khote,8,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,5,2,S Sreesanth,Right arm medium pace
335991,DS Kulkarni,2,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,2,2,not out,Not Out
335991,A Nehra,2,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",0,2,2,not out,Not Out
335992,S Chanderpaul,2,Rajasthan Royals,M Chinnaswamy Stadium,2,0,1,SR Watson,Right arm medium pace
335992,R Dravid,0,Rajasthan Royals,M Chinnaswamy Stadium,0,0,1,SR Watson,Right arm medium pace
335992,LRPL Taylor,44,Rajasthan Royals,M Chinnaswamy Stadium,43,0,1,MM Patel,Right arm medium pace
