id,bowler,is_wicket,Bowler_Type
336038,Sohail Tanvir,0,Left_medium
336038,SR Watson,3,Right_medium
336038,VY Mahesh,2,Right_medium
336039,IK Pathan,1,Left_medium
336039,JA Morkel,2,Right_medium
336039,JR Hopes,0,Right_medium
336039,L Balaji,0,Right_medium
336039,M Muralitharan,1,Right_off
336039,M Ntini,2,Right_medium
336039,MS Gony,3,Right_medium
336039,PP Chawla,0,Right_leg
336039,RR Powar,0,Right_off
336039,S Sreesanth,0,Right_medium
336039,VRV Singh,0,Right_medium
336040,JA Morkel,4,Right_medium
336040,L Balaji,0,Right_medium
336040,M Muralitharan,2,Right_off
336040,M Ntini,0,Right_medium
336040,MM Patel,0,Right_medium
336040,MS Gony,1,Right_medium
336040,SK Trivedi,0,Right_medium
336040,SK Warne,0,Right_leg
336040,Sohail Tanvir,1,Left_medium
336040,SR Watson,1,Right_medium
336040,YK Pathan,3,Right_off
392181,A Flintoff,1,Right_medium
392181,DJ Bravo,1,Right_medium
392181,Harbhajan Singh,1,Right_off
392181,JDP Oram,2,Right_medium
392181,Joginder Sharma,1,Right_medium
392181,MS Gony,2,Right_medium
392181,RR Raje,0,Right_medium
392181,SL Malinga,3,Right_medium
392181,ST Jayasuriya,2,Left_leg
392181,T Thushara,1,Left_medium
392181,Z Khan,0,Left_medium
392182,A Kumble,5,Right_leg
392182,AD Mascarenhas,3,Right_medium
392182,DW Steyn,0,Right_medium
392182,JD Ryder,3,Right_medium
392182,Kamran Khan,0,Left_medium
392182,MM Patel,2,Right_medium
392182,P Kumar,2,Right_medium
392182,R Vinay Kumar,0,Right_medium
392182,SK Warne,2,Right_leg
392182,T Henderson,1,Right_medium
392182,YK Pathan,0,Right_off
392183,AM Salvi,1,Right_medium
392183,DL Vettori,5,Left_off
392183,DP Nannes,0,Left_medium
392183,IK Pathan,0,Left_medium
392183,PJ Sangwan,0,Left_medium
392183,PP Chawla,0,Right_leg
392183,VRV Singh,0,Right_medium
392183,VS Malik,0,Right_medium
392183,VY Mahesh,1,Right_medium
392183,YA Abdulla,0,Left_medium
392184,AB Agarkar,0,Right_medium
392184,AB Dinda,2,Right_medium
392184,CH Gayle,0,Right_off
392184,FH Edwards,0,Right_medium
392184,Harmeet Singh,1,Left_off
392184,I Sharma,0,Right_medium
392184,M Kartik,0,Left_off
392184,MC Henriques,0,Right_medium
392184,PP Ojha,2,Left_off
392184,RP Singh,5,Left_medium
392184,SB Styris,2,Right_medium
392184,SC Ganguly,0,Right_medium
392185,A Flintoff,1,Right_medium
392185,A Kumble,0,Right_leg
392185,DW Steyn,1,Right_medium
392185,JA Morkel,1,Right_medium
392185,JH Kallis,0,Right_medium
392185,Joginder Sharma,1,Right_medium
392185,KP Pietersen,2,Right_leg
392185,L Balaji,2,Right_medium
392185,LRPL Taylor,0,Right_off
392185,M Muralitharan,4,Right_off
392185,MS Gony,1,Right_medium
392185,P Kumar,2,Right_medium
392185,R Vinay Kumar,0,Right_medium
392185,V Kohli,0,Right_medium
392186,AB Dinda,1,Right_medium
392186,CH Gayle,0,Right_off
392186,I Sharma,1,Right_medium
392186,IK Pathan,0,Left_medium
392186,LR Shukla,1,Right_medium
392186,M Kartik,0,Left_off
392186,MC Henriques,1,Right_medium
392186,PP Chawla,0,Right_leg
392186,RS Bopara,0,Right_medium
392186,SC Ganguly,2,Right_medium
392186,VS Malik,1,Right_medium
392186,YA Abdulla,0,Left_medium
392188,A Kumble,0,Right_leg
392188,DW Steyn,2,Right_medium
392188,FH Edwards,1,Right_medium
392188,Harmeet Singh,1,Left_off
392188,JD Ryder,1,Right_medium
392188,JH Kallis,0,Right_medium
392188,KP Pietersen,2,Right_leg
392188,P Kumar,1,Right_medium
392188,PP Ojha,1,Left_off
